Particula,Fecha Actualizacion,Heuristica/Aptitud,Op. Ganadas,Op. Perdidas,Tiempo,Magic Number,Config RSI,Config Keltner,Config OSC
G,2017/1/23 19:0,1993,57,43,85,24,0.23,0.88,-0.001937
L-14,2017/1/23 19:0,1993,57,43,85,24,0.23,0.88,-0.001937
14,2017/1/2 0:0,1993,57,43,85,24,0.23,0.88,-0.001937
14,2017/1/23 19:0,1993,57,43,85,24,0.23,0.88,-0.001937
G,2017/1/24 5:0,1906,58,42,82,26,0.45,0.86,-0.007596
L-16,2017/1/24 5:0,1906,58,42,82,26,0.45,0.86,-0.007596
16,2017/1/2 0:0,1906,58,42,82,26,0.45,0.86,-0.007596
16,2017/1/24 5:0,1906,58,42,82,26,0.45,0.86,-0.007596
L-11,2017/1/24 22:0,1987,57,43,79,21,0.33,0.72,-0.002225
11,2017/1/2 0:0,1987,57,43,79,21,0.33,0.72,-0.002225
G,2017/1/25 16:0,1825,59,41,83,28,0.24,0.67,-0.0054
L-18,2017/1/25 16:0,1825,59,41,83,28,0.24,0.67,-0.0054
18,2017/1/2 0:0,1825,59,41,83,28,0.24,0.67,-0.0054
L-13,2017/1/26 9:0,1898,58,42,74,23,0.16,0.5600000000000001,0.000437
13,2017/1/2 0:0,1898,58,42,74,23,0.16,0.5600000000000001,0.000437
G,2017/1/27 17:0,1817,59,41,75,12,0.5,0.55,0.001921
L-2,2017/1/27 17:0,1817,59,41,75,12,0.5,0.55,0.001921
2,2017/1/2 0:0,1817,59,41,75,12,0.5,0.55,0.001921
G,2017/1/27 19:0,1816,59,41,74,19,0.51,0.8,0.000163
L-9,2017/1/27 19:0,1816,59,41,74,19,0.51,0.8,0.000163
9,2017/1/2 0:0,1816,59,41,74,19,0.51,0.8,0.000163
L-6,2017/1/31 17:0,1993,57,43,85,16,0.5,0.47,-0.005898
6,2017/1/2 0:0,1993,57,43,85,16,0.5,0.47,-0.005898
L-7,2017/2/1 1:0,2164,55,45,82,17,0.28,0.43,-0.001102
7,2017/1/2 0:0,2164,55,45,82,17,0.28,0.43,-0.001102
L-10,2017/2/1 1:0,2166,55,45,84,20,0.32,0.43,0.00036
10,2017/1/2 0:0,2166,55,45,84,20,0.32,0.43,0.00036
L-15,2017/2/2 15:0,1997,58,43,88,25,0.23,0.37,-0.007764
15,2017/1/2 0:0,1997,58,43,88,25,0.23,0.37,-0.007764
