Particula,Fecha Actualizacion,Heuristica/Aptitud,Op. Ganadas,Op. Perdidas,Tiempo,Magic Number,Config RSI,Config Keltner,Config OSC
G,2017/1/25 12:0,1621,61,39,38,27,0.14,0.8100000000000001,-0.002103
L-17,2017/1/25 12:0,1621,61,39,38,27,0.14,0.8100000000000001,-0.002103
17,2017/1/2 0:0,1621,61,39,38,27,0.14,0.8100000000000001,-0.002103
L-9,2017/1/25 17:0,1699,60,40,38,19,0.39,0.83,-0.004217
9,2017/1/2 0:0,1699,60,40,38,19,0.39,0.83,-0.004217
L-5,2017/1/26 5:0,1698,60,40,37,15,0.16,0.67,0.000515
5,2017/1/2 0:0,1698,60,40,37,15,0.16,0.67,0.000515
L-18,2017/1/26 5:0,1699,60,40,38,28,0.44,0.7,0.000178
18,2017/1/2 0:0,1699,60,40,38,28,0.44,0.7,0.000178
G,2017/2/3 7:0,1397,64,36,36,17,0.4,0.48,0.002661
L-7,2017/2/3 7:0,1397,64,36,36,17,0.4,0.48,0.002661
7,2017/1/2 0:0,1397,64,36,36,17,0.4,0.48,0.002661
G,2017/2/3 11:0,1327,65,35,36,10,0.34,0.47,-0.005175
L-0,2017/2/3 11:0,1327,65,35,36,10,0.34,0.47,-0.005175
0,2017/1/2 0:0,1327,65,35,36,10,0.34,0.47,-0.005175
G,2017/2/10 8:0,1192,67,33,35,23,0.44,0.39,-0.00647
L-13,2017/2/10 8:0,1192,67,33,35,23,0.44,0.39,-0.00647
13,2017/1/2 0:0,1192,67,33,35,23,0.44,0.39,-0.00647
L-15,2017/2/10 11:0,1193,67,33,36,25,0.44,0.38,0.002795
15,2017/1/2 0:0,1193,67,33,36,25,0.44,0.38,0.002795
L-3,2017/2/15 0:0,1330,65,35,39,13,0.26,0.31,-0.001467
3,2017/1/2 0:0,1330,65,35,39,13,0.26,0.31,-0.001467
17,2017/1/25 12:0,1789,59,41,48,30,0.15,0.89,-0.002313
9,2017/1/25 17:0,1790,60,41,48,31,0.36,0.9,-0.004062
9,2017/2/21 1:0,1790,60,41,48,31,0.36,0.9,-0.004062
5,2017/1/26 5:0,2316,53,47,53,32,0.17,0.82,-0.00101
18,2017/1/26 5:0,1791,59,41,50,33,0.46,0.78,2e-05
L-14,2017/3/2 9:0,1403,65,36,41,24,0.45,0.21,-0.004712
14,2017/1/2 0:0,1403,65,36,41,24,0.45,0.21,-0.004712
L-12,2017/3/3 21:0,1550,62,38,43,22,0.55,0.4,-0.00128
12,2017/1/2 0:0,1550,62,38,43,22,0.55,0.4,-0.00128
L-11,2017/3/6 2:0,1402,64,36,41,21,0.43,0.16,-0.005316
11,2017/1/2 0:0,1402,64,36,41,21,0.43,0.16,-0.005316
L-2,2017/3/10 23:0,1403,64,36,42,12,0.5600000000000001,0.86,-0.007188
2,2017/1/2 0:0,1403,64,36,42,12,0.5600000000000001,0.86,-0.007188
7,2017/2/3 7:0,2058,57,44,63,34,0.44,0.53,0.002927
0,2017/2/3 11:0,1968,57,43,60,35,0.37,0.52,-0.005693
9,2017/2/21 1:0,1729,60,40,67,40,0.41,0.79,-0.00484
L-5,2017/3/24 4:0,1357,65,35,65,41,0.22,0.84,-0.001629
5,2017/2/24 0:0,1357,65,35,65,41,0.22,0.84,-0.001629
17,2017/2/20 21:0,2149,55,45,67,39,0.35,0.65,-0.005124
13,2017/2/10 8:0,2145,56,45,62,36,0.48,0.43,-0.007117
15,2017/2/10 11:0,1969,57,43,61,37,0.48,0.42,0.00074
3,2017/2/15 0:0,1641,61,39,58,38,0.4,0.39,-0.004556
L-18,2017/4/20 3:0,1650,61,39,66,42,0.5,0.63,-0.003684
18,2017/3/1 12:0,1650,61,39,66,42,0.5,0.63,-0.003684
L-5,2017/4/27 13:0,1337,65,35,46,50,0.32,0.75,-0.003588
5,2017/3/24 4:0,1337,65,35,46,50,0.32,0.75,-0.003588
L-7,2017/4/28 13:0,1208,67,33,51,47,0.48,0.55,0.002072
7,2017/3/14 10:0,1208,67,33,51,47,0.48,0.55,0.002072
