Particula,Fecha Actualizacion,Heuristica/Aptitud,Op. Ganadas,Op. Perdidas,Tiempo,Magic Number,Config RSI,Config Keltner,Config OSC
G,2017/1/24 16:0,1204,67,33,47,15,0.19,0.89,0.001389
L-5,2017/1/24 16:0,1204,67,33,47,15,0.19,0.89,0.001389
5,2017/1/2 0:0,1204,67,33,47,15,0.19,0.89,0.001389
5,2017/1/24 16:0,1204,67,33,47,15,0.19,0.89,0.001389
L-3,2017/1/24 18:0,1204,67,33,47,13,0.36,0.88,-0.00062
3,2017/1/2 0:0,1204,67,33,47,13,0.36,0.88,-0.00062
3,2017/1/24 18:0,1204,67,33,47,13,0.36,0.88,-0.00062
L-9,2017/1/27 22:0,1273,66,34,50,19,0.26,0.72,0.001591
9,2017/1/2 0:0,1273,66,34,50,19,0.26,0.72,0.001591
G,2017/1/31 13:0,1142,68,32,49,21,0.3,0.61,0.000246
L-11,2017/1/31 13:0,1142,68,32,49,21,0.3,0.61,0.000246
11,2017/1/2 0:0,1142,68,32,49,21,0.3,0.61,0.000246
L-13,2017/2/1 9:0,1272,66,34,49,23,0.12,0.59,-0.006295
13,2017/1/2 0:0,1272,66,34,49,23,0.12,0.59,-0.006295
L-4,2017/2/2 6:0,1275,67,34,51,14,0.38,0.55,-0.008175
4,2017/1/2 0:0,1275,67,34,51,14,0.38,0.55,-0.008175
L-7,2017/2/2 14:0,1343,65,35,52,17,0.16,0.51,-0.005693
7,2017/1/2 0:0,1343,65,35,52,17,0.16,0.51,-0.005693
L-6,2017/2/14 11:0,1350,65,35,59,16,0.48,0.4,-0.002664
6,2017/1/2 0:0,1350,65,35,59,16,0.48,0.4,-0.002664
L-18,2017/2/14 11:0,1350,65,35,59,28,0.17,0.4,-0.005753
18,2017/1/2 0:0,1350,65,35,59,28,0.17,0.4,-0.005753
L-12,2017/2/24 6:0,1892,58,42,68,22,0.11,0.25,0.004912
12,2017/1/2 0:0,1892,58,42,68,22,0.11,0.25,0.004912
L-10,2017/2/24 9:0,1812,59,41,70,20,0.42,0.24,0.002512
10,2017/1/2 0:0,1812,59,41,70,20,0.42,0.24,0.002512
5,2017/1/24 16:0,1530,63,37,95,30,0.21,0.8099999999999999,0.001528
3,2017/1/24 18:0,1682,61,39,97,31,0.37,0.85,-0.000316
9,2017/1/27 22:0,1521,63,37,87,32,0.27,0.85,0.001681
G,2017/3/13 21:0,1056,70,30,84,33,0.33,0.67,0.000271
L-11,2017/3/13 21:0,1056,70,30,84,33,0.33,0.67,0.000271
11,2017/1/31 13:0,1056,70,30,84,33,0.33,0.67,0.000271
G,2017/3/16 10:0,886,73,27,82,34,0.13,0.65,-0.006833
L-13,2017/3/16 10:0,886,73,27,82,34,0.13,0.65,-0.006833
13,2017/2/1 9:0,886,73,27,82,34,0.13,0.65,-0.006833
L-4,2017/3/17 9:0,892,74,27,87,35,0.39,0.64,-0.005338
4,2017/2/2 6:0,892,74,27,87,35,0.39,0.64,-0.005338
L-7,2017/3/20 19:0,892,74,27,87,36,0.26,0.62,-0.00277
7,2017/2/2 14:0,892,74,27,87,36,0.26,0.62,-0.00277
L-16,2017/3/27 12:0,1048,70,30,76,26,0.59,0.52,-0.008057999999999999
16,2017/1/2 0:0,1048,70,30,76,26,0.59,0.52,-0.008057999999999999
G,2017/3/27 16:0,784,75,25,82,37,0.45,0.53,-0.001667
L-6,2017/3/27 16:0,784,75,25,82,37,0.45,0.53,-0.001667
6,2017/2/14 11:0,784,75,25,82,37,0.45,0.53,-0.001667
L-18,2017/3/27 20:0,834,74,26,82,38,0.23,0.51,-0.004438
18,2017/2/14 11:0,834,74,26,82,38,0.23,0.51,-0.004438
3,2017/2/28 19:0,1266,67,33,107,42,0.38,0.85,-0.000164
3,2017/3/28 9:0,1266,67,33,107,42,0.38,0.85,-0.000164
5,2017/2/28 18:0,1267,67,33,108,41,0.25,0.85,0.001328
5,2017/3/28 9:0,1267,67,33,108,41,0.25,0.85,0.001328
9,2017/3/6 12:0,1343,66,34,118,43,0.32,0.79,0.0009859999999999999
11,2017/3/13 21:0,1561,63,37,125,44,0.36,0.74,0.000298
13,2017/3/16 10:0,1712,61,39,126,45,0.14,0.72,-0.007516
4,2017/3/17 9:0,1559,63,37,123,46,0.42,0.7,-0.005945
L-8,2017/4/24 13:0,1046,70,30,74,18,0.61,0.34,-0.00333
8,2017/1/2 0:0,1046,70,30,74,18,0.61,0.34,-0.00333
L-19,2017/4/24 13:0,1046,70,30,74,29,0.61,0.51,-0.008329
