Particula,Fecha Actualizacion,Heuristica/Aptitud,Op. Ganadas,Op. Perdidas,Tiempo,Magic Number,Config RSI,Config Keltner,Config OSC
G,2017/1/30 2:0,831,73,27,29,18,0.35,0.88,0.00348
L-8,2017/1/30 2:0,831,73,27,29,18,0.35,0.88,0.00348
8,2017/1/2 0:0,831,73,27,29,18,0.35,0.88,0.00348
8,2017/1/30 2:0,831,73,27,29,18,0.35,0.88,0.00348
L-10,2017/1/31 9:0,887,72,28,30,20,0.13,0.79,-0.006373
10,2017/1/2 0:0,887,72,28,30,20,0.13,0.79,-0.006373
L-5,2017/2/1 2:0,948,72,29,34,15,0.32,0.74,-0.000482
5,2017/1/2 0:0,948,72,29,34,15,0.32,0.74,-0.000482
L-1,2017/2/1 12:0,946,71,29,33,11,0.3,0.72,-0.003731
1,2017/1/2 0:0,946,71,29,33,11,0.3,0.72,-0.003731
L-6,2017/2/8 9:0,1066,69,31,35,16,0.34,0.57,0.003134
6,2017/1/2 0:0,1066,69,31,35,16,0.34,0.57,0.003134
L-7,2017/2/13 11:0,838,73,27,35,17,0.35,0.48,-0.007078
7,2017/1/2 0:0,838,73,27,35,17,0.35,0.48,-0.007078
L-11,2017/2/16 11:0,839,73,27,36,21,0.26,0.44,0.004844
11,2017/1/2 0:0,839,73,27,36,21,0.26,0.44,0.004844
L-9,2017/2/20 15:0,1131,68,32,38,19,0.53,0.49,-0.005979
9,2017/1/2 0:0,1131,68,32,38,19,0.53,0.49,-0.005979
L-14,2017/2/24 6:0,839,73,27,36,24,0.44,0.23,-0.005588
14,2017/1/2 0:0,839,73,27,36,24,0.44,0.23,-0.005588
L-0,2017/2/24 7:0,841,73,27,38,10,0.51,0.23,0.003077
0,2017/1/2 0:0,841,73,27,38,10,0.51,0.23,0.003077
L-16,2017/2/24 7:0,894,72,28,37,26,0.32,0.21,0.00091
16,2017/1/2 0:0,894,72,28,37,26,0.32,0.21,0.00091
L-3,2017/3/3 23:0,896,72,28,39,13,0.27,0.19,-0.004013
3,2017/1/2 0:0,896,72,28,39,13,0.27,0.19,-0.004013
10,2017/1/31 9:0,955,71,29,42,31,0.15,0.87,-0.006734
10,2017/3/3 23:0,955,71,29,42,31,0.15,0.87,-0.006734
L-18,2017/3/6 2:0,896,72,28,39,28,0.54,0.2,-0.006956
18,2017/1/2 0:0,896,72,28,39,28,0.54,0.2,-0.006956
8,2017/1/30 2:0,955,71,29,42,30,0.39,0.75,0.003828
8,2017/3/8 4:0,955,71,29,42,30,0.39,0.75,0.003828
5,2017/2/1 2:0,1076,69,31,45,32,0.36,0.84,0.000302
5,2017/3/8 10:0,1076,69,31,45,32,0.36,0.84,0.000302
1,2017/2/1 12:0,1077,70,31,45,33,0.35,0.86,-0.001025
1,2017/3/9 2:0,1077,70,31,45,33,0.35,0.86,-0.001025
L-19,2017/3/17 9:0,1080,69,31,49,29,0.57,0.14,0.004751
19,2017/1/2 0:0,1080,69,31,49,29,0.57,0.14,0.004751
G,2017/3/20 8:0,763,75,25,61,34,0.37,0.66,0.003478
L-6,2017/3/20 8:0,763,75,25,61,34,0.37,0.66,0.003478
6,2017/2/8 9:0,763,75,25,61,34,0.37,0.66,0.003478
11,2017/2/16 11:0,922,72,28,64,36,0.34,0.71,0.004612
G,2017/3/27 10:0,756,75,25,55,35,0.39,0.58,-0.006382
L-7,2017/3/27 10:0,756,75,25,55,35,0.39,0.58,-0.006382
7,2017/2/13 11:0,756,75,25,55,35,0.39,0.58,-0.006382
L-9,2017/3/28 5:0,813,74,26,61,37,0.46,0.79,-0.000485
9,2017/2/20 15:0,813,74,26,61,37,0.46,0.79,-0.000485
16,2017/2/24 7:0,1041,70,30,69,40,0.37,0.68,0.002728
10,2017/3/3 23:0,1237,67,33,79,42,0.22,0.73,-0.004656
8,2017/3/8 4:0,1236,67,33,78,44,0.4,0.75,0.003945
5,2017/3/8 10:0,987,71,29,73,45,0.39,0.6900000000000001,0.001682
0,2017/2/24 7:0,924,72,28,66,39,0.47,0.6,0.003605
L-1,2017/4/11 18:0,880,73,27,76,46,0.38,0.65,0.001328
1,2017/3/9 2:0,880,73,27,76,46,0.38,0.65,0.001328
L-3,2017/4/12 11:0,890,74,27,85,41,0.34,0.59,-0.00027
3,2017/3/3 23:0,890,74,27,85,41,0.34,0.59,-0.00027
14,2017/2/24 6:0,888,73,27,84,38,0.46,0.38,-0.00437
L-18,2017/4/19 14:0,835,74,26,83,43,0.53,0.42,-0.004584
18,2017/3/6 2:0,835,74,26,83,43,0.53,0.42,-0.004584
6,2017/3/20 8:0,1051,70,30,79,48,0.41,0.73,0.003826
11,2017/3/23 16:0,937,72,28,79,49,0.38,0.75,0.004538
L-19,2017/4/25 15:0,820,74,26,68,47,0.49,0.63,0.004399
19,2017/3/17 9:0,820,74,26,68,47,0.49,0.63,0.004399
7,2017/3/27 10:0,829,74,26,77,50,0.43,0.64,-0.00702
9,2017/3/28 5:0,879,73,27,75,51,0.47,0.76,-0.003754
G,2017/5/3 1:0,726,76,24,72,53,0.23,0.8,-0.005234
L-10,2017/5/3 1:0,726,76,24,72,53,0.23,0.8,-0.005234
10,2017/4/5 10:0,726,76,24,72,53,0.23,0.8,-0.005234
16,2017/3/31 16:0,1111,70,31,78,52,0.4,0.65,0.000854
8,2017/4/6 0:0,881,73,27,77,54,0.44,0.76,-0.000318
5,2017/4/6 14:0,1109,69,31,77,55,0.43,0.72,-0.001511
1,2017/4/11 18:0,1235,67,33,77,57,0.42,0.7,-0.000266
0,2017/4/11 18:0,1167,68,32,73,56,0.48,0.59,-0.002624
3,2017/4/12 11:0,1094,69,31,62,58,0.4,0.64,-0.00449
6,2017/4/20 10:0,979,71,29,65,61,0.44,0.76,0.001542
14,2017/4/17 22:0,1032,70,30,60,59,0.5,0.41,-0.005237
11,2017/4/25 0:0,1161,68,32,67,62,0.43,0.71,-0.002264
18,2017/4/19 14:0,1286,67,34,61,60,0.51,0.54,-0.005923
10,2017/5/3 1:0,1362,65,35,70,66,0.25,0.88,-0.005757
10,2017/5/31 8:0,1362,65,35,70,66,0.25,0.88,-0.005757
7,2017/4/28 21:0,1292,66,34,68,64,0.45,0.67,-0.007383
8,2017/5/4 19:0,1156,68,32,62,68,0.42,0.87,-0.000633
8,2017/6/1 12:0,1156,68,32,62,68,0.42,0.87,-0.000633
16,2017/5/3 18:0,1156,68,32,62,67,0.3,0.74,-0.003312
5,2017/5/5 8:0,1219,67,33,61,69,0.42,0.8,-0.002072
19,2017/4/25 15:0,1288,66,34,64,63,0.53,0.68,0.003481
9,2017/4/28 21:0,1289,66,34,65,65,0.52,0.85,-0.003591
9,2017/6/6 10:0,1289,66,34,65,65,0.52,0.85,-0.003591
1,2017/5/10 8:0,1227,67,33,69,70,0.36,0.8100000000000001,-0.002381
