Particula,Fecha Actualizacion,Heuristica/Aptitud,Op. Ganadas,Op. Perdidas,Tiempo,Magic Number,Config RSI,Config Keltner,Config OSC
G,2017/1/27 9:0,1939,57,43,32,28,0.27,0.85,-0.008959999999999999
L-18,2017/1/27 9:0,1939,57,43,32,28,0.27,0.85,-0.008959999999999999
18,2017/1/2 0:0,1939,57,43,32,28,0.27,0.85,-0.008959999999999999
18,2017/1/27 9:0,1939,57,43,32,28,0.27,0.85,-0.008959999999999999
L-1,2017/1/27 10:0,1939,57,43,32,11,0.1,0.83,-0.001977
1,2017/1/2 0:0,1939,57,43,32,11,0.1,0.83,-0.001977
1,2017/1/27 10:0,1939,57,43,32,11,0.1,0.83,-0.001977
L-8,2017/1/27 10:0,1939,57,43,32,18,0.4,0.83,-0.002963
8,2017/1/2 0:0,1939,57,43,32,18,0.4,0.83,-0.002963
8,2017/1/27 10:0,1939,57,43,32,18,0.4,0.83,-0.002963
L-12,2017/1/27 10:0,1939,57,43,32,22,0.4,0.79,-0.004518
12,2017/1/2 0:0,1939,57,43,32,22,0.4,0.79,-0.004518
G,2017/2/3 7:0,1614,61,39,31,19,0.23,0.62,0.003664
L-9,2017/2/3 7:0,1614,61,39,31,19,0.23,0.62,0.003664
9,2017/1/2 0:0,1614,61,39,31,19,0.23,0.62,0.003664
G,2017/2/8 3:0,1463,63,37,30,20,0.2,0.49,-0.008747
L-10,2017/2/8 3:0,1463,63,37,30,20,0.2,0.49,-0.008747
10,2017/1/2 0:0,1463,63,37,30,20,0.2,0.49,-0.008747
L-3,2017/2/10 3:0,1466,63,37,33,13,0.21,0.4,0.004436
3,2017/1/2 0:0,1466,63,37,33,13,0.21,0.4,0.004436
G,2017/2/10 9:0,1392,64,36,31,27,0.32,0.36,-0.003287
L-17,2017/2/10 9:0,1392,64,36,31,27,0.32,0.36,-0.003287
17,2017/1/2 0:0,1392,64,36,31,27,0.32,0.36,-0.003287
L-15,2017/2/13 2:0,1464,63,37,31,25,0.24,0.33,-0.004848
15,2017/1/2 0:0,1464,63,37,31,25,0.24,0.33,-0.004848
L-13,2017/2/21 16:0,1392,64,36,31,23,0.19,0.23,0.000401
13,2017/1/2 0:0,1392,64,36,31,23,0.19,0.23,0.000401
L-12,2017/2/24 4:0,1410,64,36,49,33,0.42,0.88,-0.005778
12,2017/1/27 10:0,1410,64,36,49,33,0.42,0.88,-0.005778
L-0,2017/2/28 3:0,1616,61,39,33,10,0.34,0.2,-0.003876
0,2017/1/2 0:0,1616,61,39,33,10,0.34,0.2,-0.003876
L-1,2017/2/28 3:0,1414,65,36,52,31,0.21,0.75,-0.00633
1,2017/1/27 10:0,1414,65,36,52,31,0.21,0.75,-0.00633
G,2017/3/1 4:0,1341,65,35,50,30,0.3,0.6799999999999999,-0.009856
L-18,2017/3/1 4:0,1341,65,35,50,30,0.3,0.6799999999999999,-0.009856
18,2017/1/27 9:0,1341,65,35,50,30,0.3,0.6799999999999999,-0.009856
G,2017/3/1 12:0,1272,66,34,49,32,0.38,0.67,-0.006198
L-8,2017/3/1 12:0,1272,66,34,49,32,0.38,0.67,-0.006198
8,2017/1/27 10:0,1272,66,34,49,32,0.38,0.67,-0.006198
G,2017/3/2 9:0,1255,66,34,32,17,0.11,0.13,0.004186
L-7,2017/3/2 9:0,1255,66,34,32,17,0.11,0.13,0.004186
7,2017/1/2 0:0,1255,66,34,32,17,0.11,0.13,0.004186
G,2017/3/3 18:0,1086,69,31,55,34,0.25,0.68,0.00403
L-9,2017/3/3 18:0,1086,69,31,55,34,0.25,0.68,0.00403
9,2017/2/3 7:0,1086,69,31,55,34,0.25,0.68,0.00403
L-10,2017/3/10 1:0,1354,66,35,61,35,0.22,0.54,-0.009622
10,2017/2/8 3:0,1354,66,35,61,35,0.22,0.54,-0.009622
L-3,2017/3/24 11:0,1361,65,35,69,36,0.23,0.46,0.00165
3,2017/2/10 3:0,1361,65,35,69,36,0.23,0.46,0.00165
